"page_id","name","urlslug","ID","ALIGN","EYE","HAIR","SEX","GSM","ALIVE","APPEARANCES","FIRST APPEARANCE","Year"
1678,"Spider-Man (Peter Parker)","\/Spider-Man_(Peter_Parker)","Secret Identity","Good Characters","Hazel Eyes","Brown Hair","Male Characters",NA,"Living Characters",4043,"Aug-62",1962
7139,"Captain America (Steven Rogers)","\/Captain_America_(Steven_Rogers)","Public Identity","Good Characters","Blue Eyes","White Hair","Male Characters",NA,"Living Characters",3360,"Mar-41",1941
64786,"Wolverine (James \""Logan\"" Howlett)","\/Wolverine_(James_%22Logan%22_Howlett)","Public Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",3061,"Oct-74",1974
1868,"Iron Man (Anthony \""Tony\"" Stark)","\/Iron_Man_(Anthony_%22Tony%22_Stark)","Public Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",2961,"Mar-63",1963
2460,"Thor (Thor Odinson)","\/Thor_(Thor_Odinson)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",2258,"Nov-50",1950
2458,"Benjamin Grimm (Earth-616)","\/Benjamin_Grimm_(Earth-616)","Public Identity","Good Characters","Blue Eyes","No Hair","Male Characters",NA,"Living Characters",2255,"Nov-61",1961
2166,"Reed Richards (Earth-616)","\/Reed_Richards_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",2072,"Nov-61",1961
1833,"Hulk (Robert Bruce Banner)","\/Hulk_(Robert_Bruce_Banner)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",2017,"May-62",1962
29481,"Scott Summers (Earth-616)","\/Scott_Summers_(Earth-616)","Public Identity","Neutral Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",1955,"Sep-63",1963
1837,"Jonathan Storm (Earth-616)","\/Jonathan_Storm_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",1934,"Nov-61",1961
15725,"Henry McCoy (Earth-616)","\/Henry_McCoy_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blue Hair","Male Characters",NA,"Living Characters",1825,"Sep-63",1963
